model,method,bench,case,category,measure,phase,value
gpt2-xl,alphaedit,counterfact,10717,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,10717,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,10717,efficacy,diff,post,0.9947343711174769
gpt2-xl,alphaedit,counterfact,10717,efficacy,diff,pre,-0.1792890528461086
gpt2-xl,alphaedit,counterfact,10717,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,10717,efficacy,success,pre,0.0
gpt2-xl,alphaedit,counterfact,10717,generalisation,acc,post,1.0
gpt2-xl,alphaedit,counterfact,10717,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,10717,generalisation,diff,post,0.9812026156107496
gpt2-xl,alphaedit,counterfact,10717,generalisation,diff,pre,-0.05830325988126074
gpt2-xl,alphaedit,counterfact,10717,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,10717,generalisation,success,pre,0.0
gpt2-xl,alphaedit,counterfact,10717,specificity,acc,post,0.1
gpt2-xl,alphaedit,counterfact,10717,specificity,acc,pre,0.1
gpt2-xl,alphaedit,counterfact,10717,specificity,diff,post,-0.050370969718700156
gpt2-xl,alphaedit,counterfact,10717,specificity,diff,pre,-0.05657028048906011
gpt2-xl,alphaedit,counterfact,10717,specificity,success,post,0.4
gpt2-xl,alphaedit,counterfact,10717,specificity,success,pre,0.0
gpt2-xl,alphaedit,counterfact,10717,target_close_neighbour,acc,post,0.0
gpt2-xl,alphaedit,counterfact,10717,target_close_neighbour,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,10717,target_close_neighbour,diff,post,0.006508847915928306
gpt2-xl,alphaedit,counterfact,10717,target_close_neighbour,diff,pre,0.005265915143214271
gpt2-xl,alphaedit,counterfact,10717,target_close_neighbour,success,post,1.0
gpt2-xl,alphaedit,counterfact,10717,target_close_neighbour,success,pre,0.8
gpt2-xl,alphaedit,counterfact,10907,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,10907,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,10907,efficacy,diff,post,0.9866671220597293
gpt2-xl,alphaedit,counterfact,10907,efficacy,diff,pre,-0.014577187670041037
gpt2-xl,alphaedit,counterfact,10907,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,10907,efficacy,success,pre,0.0
gpt2-xl,alphaedit,counterfact,10907,generalisation,acc,post,1.0
gpt2-xl,alphaedit,counterfact,10907,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,10907,generalisation,diff,post,0.8875047659435046
gpt2-xl,alphaedit,counterfact,10907,generalisation,diff,pre,0.006756774478592694
