model,method,bench,case,category,measure,phase,value
gpt2-xl,alphaedit,counterfact,11983,efficacy,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11983,efficacy,diff,pre,-0.03565468776027049
gpt2-xl,alphaedit,counterfact,11983,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11983,generalisation,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11983,generalisation,diff,pre,-0.029315199454624997
gpt2-xl,alphaedit,counterfact,11983,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11983,specificity,success,pre,0.1
gpt2-xl,alphaedit,counterfact,11983,specificity,diff,pre,-0.053060422747595745
gpt2-xl,alphaedit,counterfact,11983,specificity,acc,pre,0.1
gpt2-xl,alphaedit,counterfact,11983,target_close_neighbour,success,pre,0.9
gpt2-xl,alphaedit,counterfact,11983,target_close_neighbour,diff,pre,0.08293220752035592
gpt2-xl,alphaedit,counterfact,11983,target_close_neighbour,acc,pre,0.2
gpt2-xl,alphaedit,counterfact,11983,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,11983,efficacy,diff,post,0.9284685469663454
gpt2-xl,alphaedit,counterfact,11983,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,11983,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,11983,generalisation,diff,post,0.5588673318951777
gpt2-xl,alphaedit,counterfact,11983,generalisation,acc,post,0.5
gpt2-xl,alphaedit,counterfact,11983,specificity,success,post,0.2
gpt2-xl,alphaedit,counterfact,11983,specificity,diff,post,-0.04344643286371397
gpt2-xl,alphaedit,counterfact,11983,specificity,acc,post,0.1
gpt2-xl,alphaedit,counterfact,11983,target_close_neighbour,success,post,1.0
gpt2-xl,alphaedit,counterfact,11983,target_close_neighbour,diff,post,0.12310732484601147
gpt2-xl,alphaedit,counterfact,11983,target_close_neighbour,acc,post,0.5
gpt2-xl,alphaedit,counterfact,13602,efficacy,success,pre,0.0
gpt2-xl,alphaedit,counterfact,13602,efficacy,diff,pre,-0.3437196922705103
gpt2-xl,alphaedit,counterfact,13602,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,13602,generalisation,success,pre,0.0
gpt2-xl,alphaedit,counterfact,13602,generalisation,diff,pre,-0.22245752272190797
gpt2-xl,alphaedit,counterfact,13602,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,13602,specificity,success,pre,0.1
gpt2-xl,alphaedit,counterfact,13602,specificity,diff,pre,-0.06374715831162822
gpt2-xl,alphaedit,counterfact,13602,specificity,acc,pre,0.2
gpt2-xl,alphaedit,counterfact,13602,target_close_neighbour,success,pre,0.2
gpt2-xl,alphaedit,counterfact,13602,target_close_neighbour,diff,pre,-0.03959248573738354
gpt2-xl,alphaedit,counterfact,13602,target_close_neighbour,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,13602,efficacy,success,post,1.0
