model,method,bench,case,rewrite_success_pre,rewrite_success_post,rewrite_diff_pre,rewrite_diff_post,paraphrase_success_pre,paraphrase_success_post,paraphrase_diff_pre,paraphrase_diff_post,neighborhood_success_pre,neighborhood_success_post,neighborhood_diff_pre,neighborhood_diff_post
gpt2-xl,alphaedit,counterfact,16291,0.0,1.0,-6.985671485921669e-05,0.08260832633063905,0.0,1.0,-0.0002591407438964968,0.011717012016018404,0.0,0.1,-0.0005944653826291742,-0.0005501124217286437
gpt2-xl,alphaedit,counterfact,15685,0.0,1.0,-0.002123918255730973,0.9661887194766852,0.0,1.0,-0.0005884122890993529,0.20961641552509433,0.0,0.9,-0.006240359328515217,0.4826706016019468
gpt2-xl,alphaedit,counterfact,1383,0.0,1.0,-0.0018890127105082154,0.9896533804814343,0.5,1.0,-0.011939755411547954,0.026849667384496737,0.1,0.8,-0.012865201459528056,0.08571289429630233
gpt2-xl,alphaedit,zsre,zsre_row6043,0.0,1.0,-0.03736296027227802,0.8936502513785316,0.0,1.0,-0.016107559737609144,0.6841741635071945,0.0,0.0,-0.06241296203576135,-0.06299107883688672
gpt2-xl,alphaedit,zsre,zsre_row6651,1.0,1.0,0.0016397117881616764,0.9745116784256013,1.0,1.0,0.0005727182792956383,0.8499821224202805,1.0,1.0,0.0005216392567450681,0.0005398935367834434
gpt2-xl,alphaedit,zsre,zsre_row15444,1.0,1.0,0.011812062328128196,0.8084797125104092,1.0,1.0,0.004712907720186446,0.6572601736036672,0.0,0.0,-0.001376564129536281,-0.0017923811059968574
gpt2-xl,anyedit,counterfact,16291,0.0,1.0,-6.985671485921669e-05,0.9993244566552297,0.0,1.0,-0.0002591407438964968,0.0036013782216953484,0.0,0.5,-0.0005944653826291742,0.29993121444995546
gpt2-xl,anyedit,counterfact,15685,0.0,1.0,-0.002123918255730973,0.9999999999986372,0.0,0.5,-0.0005884122890993529,0.4998479221146674,0.0,1.0,-0.006240359328515217,0.8999944178690473
gpt2-xl,anyedit,counterfact,1383,0.0,1.0,-0.0018890127105082154,0.9998824805551402,0.5,0.5,-0.011939755411547954,0.027043535342804882,0.1,1.0,-0.012865201459528056,0.74975977647437
gpt2-xl,anyedit,zsre,zsre_row6043,0.0,1.0,-0.03736296027227802,0.9902768766120144,0.0,1.0,-0.016107559737609144,0.8695983731004459,0.0,0.0,-0.06241296203576135,-0.06628302222652036
gpt2-xl,anyedit,zsre,zsre_row6651,1.0,1.0,0.0016397117881616764,0.9990974580979389,1.0,1.0,0.0005727182792956383,0.9945783996288827,1.0,1.0,0.0005216392567450681,0.0008401128531407749
gpt2-xl,anyedit,zsre,zsre_row15444,1.0,1.0,0.011812062328128196,0.9682777222624176,1.0,1.0,0.004712907720186446,0.9852997558019112,0.0,0.0,-0.001376564129536281,-0.0012207480298380606
gpt2-xl,grace,counterfact,16291,0.0,1.0,-6.985671485921669e-05,0.9953543932324385,0.0,0.0,-0.0002591407438964968,-0.0002591407438964968,0.0,0.0,-0.0005944653826291742,-0.0005944653826291742
gpt2-xl,grace,counterfact,15685,0.0,1.0,-0.002123918255730973,0.9999989271174381,0.0,0.0,-0.0005884122890993529,-0.0005884122890993529,0.0,0.0,-0.006240359328515217,-0.006240359328515217
gpt2-xl,grace,counterfact,1383,0.0,1.0,-0.0018890127105082154,0.9997213482098117,0.5,0.5,-0.011939755411547954,-0.011939755411547954,0.1,0.2,-0.012865201459528056,0.08715176879158495
gpt2-xl,grace,zsre,zsre_row6043,0.0,1.0,-0.03736296027227802,0.9884433168205665,0.0,0.0,-0.016107559737609144,-0.016107559737609144,0.0,0.0,-0.06241296203576135,-0.06241296203576135
gpt2-xl,grace,zsre,zsre_row6651,1.0,1.0,0.0016397117881616764,0.9988356360109301,1.0,1.0,0.0005727182792956383,0.0005727182792956383,1.0,1.0,0.0005216392567450681,0.0005216392567450681
gpt2-xl,grace,zsre,zsre_row15444,1.0,1.0,0.011812062328128196,0.9684486697427711,1.0,1.0,0.004712907720186446,0.004712907720186446,0.0,0.0,-0.001376564129536281,-0.001376564129536281
gpt2-xl,memit,counterfact,16291,0.0,1.0,-6.985671485921669e-05,0.07379403436309197,0.0,1.0,-0.0002591407438964968,0.012250506337056741,0.0,0.1,-0.0005944653826291742,-0.0005494617424440632
gpt2-xl,memit,counterfact,15685,0.0,1.0,-0.002123918255730973,0.9638475254943418,0.0,1.0,-0.0005884122890993529,0.2034156117783951,0.0,0.9,-0.006240359328515217,0.48471172058387024
gpt2-xl,memit,counterfact,1383,0.0,1.0,-0.0018890127105082154,0.9890241342023742,0.5,1.0,-0.011939755411547954,0.022833768383146415,0.1,0.9,-0.012865201459528056,0.10334334411695834
gpt2-xl,memit,zsre,zsre_row6043,0.0,1.0,-0.03736296027227802,0.8877467178735206,0.0,1.0,-0.016107559737609144,0.6881375635088338,0.0,0.0,-0.06241296203576135,-0.06309355987761209
gpt2-xl,memit,zsre,zsre_row6651,1.0,1.0,0.0016397117881616764,0.9744679572080859,1.0,1.0,0.0005727182792956383,0.8619579648017782,1.0,1.0,0.0005216392567450681,0.0005405476337083897
gpt2-xl,memit,zsre,zsre_row15444,1.0,1.0,0.011812062328128196,0.785588464227219,1.0,1.0,0.004712907720186446,0.6397281735929159,0.0,0.0,-0.001376564129536281,-0.0018034484455511286
gpt2-xl,remedi,zsre,zsre_row6043,0.0,0.0,-0.03736296027227802,-0.03714729463622294,0.0,0.0,-0.016107559737609144,-0.014911804072389626,0.0,0.0,-0.06241296203576135,-0.06241296203576135
gpt2-xl,remedi,zsre,zsre_row6651,1.0,1.0,0.0016397117881616764,0.0015746003769558472,1.0,1.0,0.0005727182792956383,0.0005343372603408514,1.0,1.0,0.0005216392567450681,0.0005216392567450681
gpt2-xl,remedi,zsre,zsre_row15444,1.0,1.0,0.011812062328128196,0.011763027855317512,1.0,1.0,0.004712907720186446,0.005207544588298187,0.0,0.0,-0.001376564129536281,-0.001376564129536281
gpt2-xl,rome,counterfact,16291,0.0,1.0,-6.985671485921669e-05,0.9964637279323392,0.0,1.0,-0.0002591407438964968,0.006846573010948653,0.0,0.0,-0.0005944653826291742,-0.0005786336920032315
gpt2-xl,rome,counterfact,15685,0.0,1.0,-0.002123918255730973,0.967121346580527,0.0,1.0,-0.0005884122890993529,0.1635040316915618,0.0,0.7,-0.006240359328515217,0.09958217181949416
gpt2-xl,rome,counterfact,1383,0.0,1.0,-0.0018890127105082154,0.971919347513461,0.5,0.5,-0.011939755411547954,-0.003701221146863943,0.1,0.2,-0.012865201459528056,-0.010110725551770255
gpt2-xl,rome,zsre,zsre_row6043,0.0,0.0,-0.03736296027227802,-0.21587298061009405,0.0,0.0,-0.016107559737609144,-0.11383096247888008,0.0,0.0,-0.06241296203576135,-0.06037414193717119
gpt2-xl,rome,zsre,zsre_row6651,1.0,1.0,0.0016397117881616764,0.12546472786145715,1.0,1.0,0.0005727182792956383,0.006084782411861331,1.0,1.0,0.0005216392567450681,0.0005397393762503673
gpt2-xl,rome,zsre,zsre_row15444,1.0,1.0,0.011812062328128196,0.012434259958785946,1.0,1.0,0.004712907720186446,0.024082548321735713,0.0,0.0,-0.001376564129536281,-0.001514959891583971
