model,method,bench,case,eff_rate_pre,eff_rate_post,eff_mag_pre,eff_mag_post,gen_rate_pre,gen_rate_post,gen_mag_pre,gen_mag_post,spec_rate_pre,spec_rate_post,spec_mag_pre,spec_mag_post
gpt2-xl,memit,counterfact,11983,0.0,1.0,-0.03595922752721614,0.9409356541705637,0.0,1.0,-0.029482589458517703,0.6675332208510973,0.1,0.9,-0.05294571300751163,0.14358848177154337
gpt2-xl,memit,counterfact,13602,0.0,1.0,-0.34713305197431576,0.9951668505991703,0.0,1.0,-0.23390110994898564,0.4204281176075757,0.1,0.2,-0.06360591788798048,-0.08077741939662615
gpt2-xl,memit,counterfact,15471,0.0,1.0,-0.36341320213845374,0.9837220347974825,0.0,1.0,-0.005159442476400792,0.07211706283140377,0.2,1.0,0.005180285373931467,0.11547396203643487
gpt2-xl,memit,counterfact,4190,0.0,1.0,-0.0001428902846943806,0.9286645641400234,0.0,1.0,-0.002213227545302043,0.35510465956973236,0.2,0.5,-0.00019067569739530883,0.017231288135293666
gpt2-xl,memit,counterfact,2414,0.0,1.0,-9.938906307271524e-07,0.9853533830840634,0.0,1.0,-0.00019664593366518354,0.3419614497914968,0.7,0.9,0.00016054017533516753,0.00043304776775716263
gpt2-xl,memit,counterfact,11701,0.0,1.0,-0.2571652021390669,0.9919126002381351,0.0,1.0,-0.0022297171430729354,0.18590298310116382,0.1,0.8,0.0012052561151072322,0.02053512051350685
gpt2-xl,rome,counterfact,11983,0.0,1.0,-0.03595922752721614,0.9921712326074837,0.0,1.0,-0.029482589458517703,0.6099172432576101,0.1,0.2,-0.05294571300751163,-0.04912784684572588
gpt2-xl,rome,counterfact,13602,0.0,1.0,-0.34713305197431576,0.9811533469376962,0.0,1.0,-0.23390110994898564,0.4063492893269013,0.1,0.1,-0.06360591788798048,-0.0653029918630908
gpt2-xl,rome,counterfact,15471,0.0,1.0,-0.36341320213845374,0.9962869394979462,0.0,1.0,-0.005159442476400792,0.030469586194980185,0.2,0.4,0.005180285373931467,0.022414830873369294
gpt2-xl,rome,counterfact,4190,0.0,1.0,-0.0001428902846943806,0.9646444788567273,0.0,1.0,-0.002213227545302043,0.4542367894287104,0.2,0.2,-0.00019067569739530883,-0.00022491607473221073
gpt2-xl,rome,counterfact,2414,0.0,1.0,-9.938906307271524e-07,0.9568225719590746,0.0,1.0,-0.00019664593366518354,0.534712072559919,0.7,0.9,0.00016054017533516753,0.00020699531081076367
gpt2-xl,rome,counterfact,11701,0.0,1.0,-0.2571652021390669,0.9269344072114193,0.0,1.0,-0.0022297171430729354,0.21928615934956197,0.1,0.4,0.0012052561151072322,0.008140845737862131
gpt2-xl,rome,counterfact,16141,0.0,1.0,-0.08709135428455056,0.9502437144529312,0.0,1.0,-0.11034578367889235,0.8543466967642963,0.0,0.0,-0.1774217549350963,-0.19044709670871396
gpt2-xl,rome,counterfact,19724,1.0,1.0,0.08071087581202725,0.2559796396426213,0.0,1.0,-0.01396445497657093,0.9984272970731114,0.5,0.5,-0.06076586705555494,-0.0792943584664665
gpt2-xl,rome,counterfact,12635,0.0,1.0,-0.0011320384175479547,0.8142698805296025,0.0,1.0,-0.002489009946185679,0.5450210121413019,0.0,0.0,-0.03778766501112589,-0.042704428493600656
gpt2-xl,rome,counterfact,3748,0.0,1.0,-0.00316968867880482,0.9653842186386076,0.0,1.0,-0.061251563329216385,0.9058309083776921,0.8,0.8,-0.00387145536106897,-0.00355083342568875
gpt2-xl,rome,counterfact,17374,1.0,1.0,0.0036695879791803594,0.9942486057905898,1.0,1.0,0.018004840069346762,0.9934120312454842,0.2,0.2,-0.07806028960126192,-0.11243720229226732
gpt2-xl,rome,counterfact,2723,1.0,1.0,0.00019880198190780338,0.9963335546595282,0.0,1.0,-0.0001014279381361166,0.00021182197076333037,0.3,0.3,-0.00044629495375305415,-0.00032589853633135463
gpt2-xl,rome,counterfact,2759,0.0,1.0,-0.38251107815428825,0.987847371681226,0.0,1.0,-0.2433315517307101,0.9296261304686959,0.0,0.8,-0.2962849588688656,0.449378033802663
gpt2-xl,rome,counterfact,21054,0.0,1.0,-0.09099947792901779,0.9815180220188011,0.0,1.0,-0.014349265326641297,0.04411209880245635,0.4,0.5,-0.12600743158158323,-0.12527345869743267
gpt2-xl,rome,counterfact,12756,1.0,1.0,1.6268308020063636e-05,0.9977817945485058,0.5,1.0,-0.00029184955509548694,0.002834056932483184,1.0,1.0,0.00014189167473726904,0.0006881379542034109
gpt2-xl,rome,counterfact,14633,0.0,1.0,-0.0006910513626008925,0.9931350446527383,0.0,1.0,-0.005636268082414798,0.43174285773904963,0.2,0.3,-0.0019128781571509004,-0.0023705096458341854
gpt2-xl,rome,counterfact,21068,1.0,1.0,0.0002453965616495738,0.7880776330911541,0.5,1.0,3.528004821932665e-05,0.720542633995874,0.7,0.8,0.00012503320439773976,0.00023965710077860155
gpt2-xl,rome,counterfact,3509,0.0,1.0,-0.009218602341302748,0.9361625911287038,0.0,0.5,-0.0417534524204799,0.49029011506165615,0.0,0.1,-0.011753765570985593,-0.004705662428597183
gpt2-xl,rome,counterfact,2106,0.0,1.0,-0.00031111838637815916,0.9878988057010835,0.0,1.0,-0.0013435334934787466,0.26256260105494866,0.0,0.0,-0.0018052774096265882,-0.0017602448664149136
gpt2-xl,rome,counterfact,17265,0.0,1.0,-0.00022564724665749395,0.9898954829959431,0.5,1.0,-0.02083083295904452,0.8716183676917371,0.4,0.4,0.001983758992214662,0.002630922926427055
gpt2-xl,rome,zsre,zsre_row8097,1.0,1.0,0.06408793531697768,0.02635434930796146,1.0,1.0,0.04582614834826376,0.025137382655992163,1.0,1.0,0.006405524065350823,0.006448445455958727
gpt2-xl,rome,zsre,zsre_row15599,0.0,1.0,-0.0038944363545577333,0.9968600024217547,0.0,1.0,-0.006545134073139953,0.4834153738183842,0.0,0.0,-6.86888227630301e-08,-6.648267879575022e-08
gpt2-xl,rome,zsre,zsre_row18844,1.0,1.0,7.447894416040969e-05,0.0002852481955774053,0.0,1.0,-6.644422060305528e-06,0.0003653320740707872,0.0,0.0,-0.0003402825579249347,-0.0003479374810426269
gpt2-xl,rome,zsre,zsre_row5765,0.0,1.0,-0.010333834915537611,0.9963234981637994,0.0,1.0,-0.009219154569960746,0.9887783203819889,0.0,0.0,-0.00010118260648793906,-0.00010130330042665728
gpt2-xl,rome,zsre,zsre_row13630,1.0,1.0,0.010198743123991421,0.9969805742460573,1.0,1.0,0.011436416730977846,0.9028760833004438,1.0,1.0,0.003211820735775149,0.003401311223031955
gpt2-xl,rome,zsre,zsre_row14665,0.0,1.0,-0.008330634610698022,0.016343143892237337,0.0,1.0,-0.0046959421546233365,0.013755297748863093,0.0,0.0,-7.083631854035274e-05,-9.023778705756868e-05
gpt2-xl,rome,zsre,zsre_row12754,0.0,1.0,-0.0007120847956687123,0.9985211222724952,0.0,1.0,-0.0002580330065144622,0.9845696478802485,1.0,1.0,1.834156689115596e-08,2.1628543238900982e-08
gpt2-xl,rome,zsre,zsre_row8750,0.0,1.0,-0.010665472266536809,0.979034175894412,0.0,1.0,-0.012820453493334865,0.7235502135698085,0.0,0.0,-0.00033252423321147206,-0.00033647571597895677
gpt2-xl,rome,zsre,zsre_row4307,0.0,1.0,-0.00012943173770126363,0.00011621859550578316,0.0,1.0,-0.001646163601239992,0.00019362381544903924,0.0,0.0,-2.464355106338978e-05,-2.4438686745139612e-05
gpt2-xl,rome,zsre,zsre_row18406,0.0,0.0,-0.00016238195765060168,-4.731779990036275e-09,0.0,0.0,-0.00015460733722882716,-5.98344737235098e-09,0.0,0.0,-4.3209283159908565e-06,-4.466051084006956e-06
gpt2-xl,rome,zsre,zsre_row10580,0.0,1.0,-0.0004148870150821782,3.600329312713202e-05,0.0,0.0,-0.00500342218285037,-0.004275990225463008,1.0,1.0,2.915275133240394e-05,3.3500294772582226e-05
gpt2-xl,rome,zsre,zsre_row9259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt2-xl,rome,zsre,zsre_row57,0.0,1.0,-3.056610521826429e-07,0.9637748218249201,0.0,1.0,-2.4873446492609518e-06,0.9576487570865811,0.0,0.0,-2.0831299367995633e-07,-2.027556034566885e-07
gpt2-xl,rome,zsre,zsre_row19060,0.0,1.0,-0.0001324648598419689,0.9960298008230719,0.0,1.0,-6.847838620595176e-05,0.9837277271604656,0.0,0.0,-0.00015091401923592845,-0.00014868656426506388
gpt2-xl,rome,zsre,zsre_row16238,0.0,1.0,-9.073285812600122e-06,0.0001916479524761365,0.0,0.0,-1.6379926223260084e-05,-4.2248768613063216e-07,1.0,1.0,6.555343492835861e-08,1.207922020695241e-07
gpt2-xl,rome,zsre,zsre_row9297,1.0,1.0,0.008592364968880595,0.1515092949252302,1.0,1.0,0.008047530213009055,0.1313397865692353,1.0,1.0,0.001603877920712776,0.001575056609631923
gpt2-xl,rome,zsre,zsre_row15083,1.0,1.0,0.009354874760657038,0.003113040219979592,1.0,1.0,0.017234142771695896,0.012681976904760863,1.0,1.0,7.664305679202317e-05,8.360826618437195e-05
